id;thumbnail;full_text
1833133861372309826;https://pbs.twimg.com/media/GXCZaPGW4AAZAnN?format=jpg&name=thumb;"I love simple drawings, and I'm lucky that Midjourney has a wide variety of styles.

Today I share with you a new sref that I really enjoy:

--sref 175039056

It works best with my prompt, which you can see in the ALT 👇"
1833133861372309826;https://pbs.twimg.com/media/GXCZbhzWgAAoljt?format=jpg&name=thumb;"I love simple drawings, and I'm lucky that Midjourney has a wide variety of styles.

Today I share with you a new sref that I really enjoy:

--sref 175039056

It works best with my prompt, which you can see in the ALT 👇"
1833133861372309826;https://pbs.twimg.com/media/GXCZdF9XoAAfGKv?format=jpg&name=thumb;"I love simple drawings, and I'm lucky that Midjourney has a wide variety of styles.

Today I share with you a new sref that I really enjoy:

--sref 175039056

It works best with my prompt, which you can see in the ALT 👇"
1833150896324427912;https://pbs.twimg.com/media/GXCpA-Aa4AAAMr-?format=jpg&name=thumb;"Illustration Series: D23

--sref 1388633363 // Pastel Reverie

From Midjourney Styles Book https://t.co/WqhF8Hbnqt"
1833813311151870390;https://pbs.twimg.com/media/GXMC9kcXQAAU3kJ?format=jpg&name=thumb;"Biomorph Reverie

I am stumped.

--sref 2004598205"
1834553872439758881;https://pbs.twimg.com/media/GXWlBB8XsAAKmWw?format=jpg&name=thumb;--p lt17wfw --sref 1576330348 --s 500 --sw 100 --v 6.1 https://t.co/T8t5OZnhFe
1834672639635255552;https://pbs.twimg.com/media/GXYRCsAXkAA4pGs?format=jpg&name=thumb;"Minimal pastel 3D renders ✨

--sref 1138560890 --p dg2k8l2 --sw 1000

#midjourney https://t.co/TBkhz8mtss"
1835045935254299131;https://pbs.twimg.com/media/GXdjNSjWwAARUCe?format=jpg&name=thumb;"Prompt + 4 favorite styles
Tested my oni mask assassin prompt (prompt in attached post below) with 10 different style references. Here are my 4 favourite results:

1 --sref 868190600
2 --sref 3642091101
3 --sref 4172525597
4 --sref 4145747296

Enjoy the styles | #Midjourney"
1835056400940384350;https://pbs.twimg.com/media/GXdt_TGW4AAOsud?format=jpg&name=thumb;"All wrapped in deep, moody lighting.
--sref 2277237958::3 2350917108 1404475950::5 https://t.co/dfbyeLTrzN"
1835058111477960963;https://pbs.twimg.com/media/GXdvmY2XsAAItbb?format=jpg&name=thumb;"fragmented, dark, and abstract portraits with intense, mysterious atmospheres

Prompt 

art --sref 1506333555 https://t.co/ZDyHFvmMQG"
1835066393936453763;https://pbs.twimg.com/media/GXd3Ji-XAAA6ixr?format=jpg&name=thumb;--sref 2634375946 https://t.co/mlBOK2dsQO
1835258931347603882;https://pbs.twimg.com/media/GXgmGuYWMAAxKhD?format=jpg&name=thumb;"Project_SREF Explorations 040
[Royal Darkness]⬛️🟨
--sref 342934567
This Sref features a dramatic, dark, and luxurious aesthetic, where the contrast between deep black and bright gold is the central element. The combination of rich textures, golden details, and dark tones creates an atmosphere of opulence, mystery, and power. There’s a strong sense of theatricality, almost baroque, but with a futuristic or dystopian twist that modernizes and deepens its intrigue.
I'd love to see what you can do with your creativity. Want to give it a try?"
1835258931347603882;https://pbs.twimg.com/ext_tw_video_thumb/1835258810530775040/pu/img/g7xYXyJtGnm1Yxta.jpg?name=thumb;"Project_SREF Explorations 040
[Royal Darkness]⬛️🟨
--sref 342934567
This Sref features a dramatic, dark, and luxurious aesthetic, where the contrast between deep black and bright gold is the central element. The combination of rich textures, golden details, and dark tones creates an atmosphere of opulence, mystery, and power. There’s a strong sense of theatricality, almost baroque, but with a futuristic or dystopian twist that modernizes and deepens its intrigue.
I'd love to see what you can do with your creativity. Want to give it a try?"
1835301360100630541;https://pbs.twimg.com/media/GXhM0S_WcAAusco?format=jpg&name=thumb;"🚨 #StyleRef of the day (15 September 2024)                      --sref 15092024     #Midjourney                  
Very artistic  Sref of the day https://t.co/2nG4sNuCdd"
1835343857837375784;https://pbs.twimg.com/media/GXhzYzKWsAEDPJv?format=jpg&name=thumb;"The rich reds, vintage vibes, and cinematic mood in these images create a timeless, storybook feel.
--sref 1953563888 https://t.co/fOCTJJtUY5"
1835344574749008057;https://pbs.twimg.com/media/GXgvVLIXYAAwGJy?format=jpg&name=thumb;"Classic Portrait 

Ege found this and used it to make strange landscapes. But I feel like it was trained on anatomical books. It feels GREAT to make classic, drawn portraits. What do you think?

--sref 3525599015 ( by @egeberkina ) https://t.co/O7V466iIvZ"
1835438739411054707;https://pbs.twimg.com/media/GXjJxW0WsAA42fX?format=jpg&name=thumb;"Prompt : 

art --sref 3614060891 https://t.co/N5WhExYbZL"
